body,title
"The organization Es Racismo (It’s Racism) has denounced a xenophobic incident that took place in a store in the Bravo Murillo neighborhood of Madrid, and soon went viral via social media.",Woman’s racist rant to Madrid store clerk goes viral
"Eddie Murphy ha reunido a toda su familia por Navidad. El actor, de 57 años, ha juntado a sus diez hijos y ha posado con todos por primera vez en varias fotografías que ha publicado una de sus hijas, Bria, en su cuenta de Instagram. El intérprete de películas como Doctor Doolittle y El profesor chiflado, aparece muy sonriente en el centro del grupo, mientras sostiene en brazos a su hija pequeña, Izzy Oona, de dos años y medio, fruto de su actual relación con la modelo australiana Paige Butcher, quien también aparece en la imagen acunando a Max Charles, el último hijo del actor, que nació hace solo tres semanas.",Eddie Murphy posa por primera vez con sus diez hijos
"Pocas cosas satisfacen tanto a un viajero costero como la sensación de descubrimiento que puede experimentar en la comarca vizcaína de Uribe. Esta ruta no solo da rienda suelta a la voluntad del extravío por el litoral más ignorado de la cornisa cantábrica, también completa la excursión a la ermita de San Juan de Gaztelugatxe.",Placeres del mar en Bakio
"Rusia ha sellado con China lo que muchos analistas suelen definir como un matrimonio de conveniencia. Ambos países mantienen una relación estratégica a través de acuerdos en infraestructuras, defensa, agricultura o medios de comunicación. Pero es la energía el área que ha alumbrado algunos de los pactos de colaboración más relevantes. ""La alianza natural entre ambos países en ese sector —por los enormes recursos del primero y la gran demanda del segundo— se está ahora apuntalando gracias a otros elementos geopolíticos, como las sanciones y la expansión de la guerra comercial de Estados Unidos con China"", analiza por teléfono James Henderson, director del programa de Gas Natural del Instituto Oxford para el Estudio de las Energías, de la Universidad de Oxford, Reino Unido.",Rusia vira hacia China por las sanciones occidentales
"La salud global ha sido el tema estrella este año en Planeta Futuro. Es lo que se deduce al hacer balance y comprobar cuáles fueron los reportajes más leídos del año. La sexual, la materna, la infantil, las enfermedades tropicales, la resistencia a los medicamentos son algunas de nuestras historias más vistas, entre las que también están presentes muchos de los asuntos por resolver en este mundo: igualdad de género, medio ambiente, indígenas, racismo, derechos humanos, alimentación, los problemas de África. Entre los cientos de artículos que hemos publicado en 2018, estos han sido los 18 más leídos:",El misterioso coma de los niños en Suecia y otras 17 historias de 2018
"El año ha sido, para muchos en nuestra América, y entre ellos me cuento, el año mexicano.",La cosa boba: apología de lo menospreciado
"Ya se sabe que los nórdicos lo hacen todo bien: ellos han exportado conceptos como el hygge o lagom, que son como nuestro ""sofá, peli y mantita"", pero con chimenea y vistas a un lago helado. En Suecia la gente también se muere igual que en todas partes, pero sin dejar de atender cierto protocolo. Se llama döstädning, un acrónimo de dos palabras que significan ""muerte"" y ""orden, limpieza"". Eso es lo que propugna: someter nuestro hogar a una criba profunda como favor hacia quienes nos van a sobrevivir.",Cómo ordenar tu casa como si fueras a morir
"Hace dos años, la muerte de Carrie Fisher devastó al mundo del cine. Tanto quienes forman parte de su industria como sus espectadores lloraron la desaparición, con apenas 60 años y a causa de una apnea del sueño, de una de las actrices más célebres del celuloide. El inesperado adiós de la guionista, monologuista, escritora y mítica princesa Leia trajo solo un día después otra desgracia: la muerte de su madre, Debbie Reynolds, que fallecía apenas 24 horas después a causa de una embolia.",La hija de Carrie Fisher le rinde homenaje dos años después de su muerte
"El Congreso mexicano ha dado luz verde pasada la medianoche de este lunes a los primeros Presupuestos de López Obrador con modificaciones en algunas partidas respecto al proyecto presentado por el Gobierno el pasado 15 de diciembre. La que más pierde respecto al plan original es justicia y entre las que más ganan están agricultura y educación. Las quejas y presiones -el Congreso ha estado bloqueado varios días por organizaciones de agricultores- y el arrepentimiento del presidente sobre el recorte a las universidades públicas han tenido su efecto sobre el texto final. Unos Presupuestos que todavía pueden verse modificados con la votación de las enmiendas que se han presentado, pero que fundamentalmente quedan así:



MÁS INFORMACIÓN














El Congreso mexicano aprueba el primer Presupuesto de López Obrador






López Obrador manda una señal de certidumbre con los presupuestos









- El Presupuesto final será de 23.800 millones de pesos más (1.200 millones de dólares) que lo planeado en el proyecto de López Obrador. La cantidad final ascenderá a 5,8 billones, frente a los 5,2 del las últimas cuentas públicas presentadas por el Ejecutivo de Enrique Peña Nieto.

- Además de este incremento, el Congreso ha hecho reasignaciones por valor de 16.700 millones de pesos que le han permitido rebajar la tensión con algunos sectores -como la cultura o el de los agricultores-, especialmente molestos por las cuentas presentadas por el Ejecutivo.",Así queda el Presupuesto mexicano tras su aprobación en el Congreso
"El Gobierno mexicano, que llegó al poder el 1 de diciembre, saca pecho: “México es el primer país del mundo que ajusta sus políticas migratorias al pacto de la ONU”, dijo esta semana su canciller, Marcelo Ebrard. Se refería al pacto migratorio adoptado el 10 y 11 de diciembre en Marraquech por 165 de los 193 países de la ONU. Sin embargo, su optimismo se enfrenta al recelo de EE UU. Trump quiere destinar el mismo dinero a la construcción del muro con su vecino –casi 6.000 millones de dólares- que para los proyectos en México y Centroamérica de los próximos años, pensados para contener el flujo de personas que se dirigen al norte. Una cantidad ya comprometida que solo incorpora 180 millones de dinero fresco.",México lidera un nuevo modelo migratorio para frenar la crisis en Centroamérica
