FECHA,DIA,HORA,TEMPERATURA
20100607,LUNES,0:00,30.9
20100607,LUNES,1:00,28.7
20100607,LUNES,2:00,26.9
20100607,LUNES,3:00,25.2
20100607,LUNES,4:00,24.1
20100607,LUNES,5:00,24.3
20100607,LUNES,6:00,23.4
20100607,LUNES,7:00,25.7
20100607,LUNES,8:00,28.5
20100607,LUNES,9:00,30.7
20100607,LUNES,10:00,32.5
20100607,LUNES,11:00,34.1
20100607,LUNES,12:00,36.1
20100607,LUNES,13:00,37.6
20100607,LUNES,14:00,39.0
20100607,LUNES,15:00,40.2
20100607,LUNES,16:00,40.3
20100607,LUNES,17:00,40.2
20100607,LUNES,18:00,40.1
20100607,LUNES,19:00,39.4
20100607,LUNES,20:00,38.5
20100607,LUNES,21:00,37.0
20100607,LUNES,22:00,34.7
20100607,LUNES,23:00,32.6
20100601,MARTES,0:00,25.2
20100601,MARTES,1:00,24.1
20100601,MARTES,2:00,24.4
20100601,MARTES,3:00,24.9
20100601,MARTES,4:00,22.8
20100601,MARTES,5:00,19.8
20100601,MARTES,6:00,18.8
20100601,MARTES,7:00,21.2
20100601,MARTES,8:00,24.2
20100601,MARTES,9:00,27.1
20100601,MARTES,10:00,29.3
20100601,MARTES,11:00,30.6
20100601,MARTES,12:00,32.6
20100601,MARTES,13:00,34.0
20100601,MARTES,14:00,34.0
20100601,MARTES,15:00,34.9
20100601,MARTES,16:00,34.6
20100601,MARTES,17:00,33.8
20100601,MARTES,18:00,33.5
20100601,MARTES,19:00,32.8
20100601,MARTES,20:00,31.0
20100601,MARTES,21:00,29.0
20100601,MARTES,22:00,27.6
20100601,MARTES,23:00,26.3
20100602,MIERCOLES,0:00,23.8
20100602,MIERCOLES,1:00,20.6
20100602,MIERCOLES,2:00,19.1
20100602,MIERCOLES,3:00,18.4
20100602,MIERCOLES,4:00,18.9
20100602,MIERCOLES,5:00,18.2
20100602,MIERCOLES,6:00,17.9
20100602,MIERCOLES,7:00,20.2
20100602,MIERCOLES,8:00,23.8
20100602,MIERCOLES,9:00,26.1
20100602,MIERCOLES,10:00,27.9
20100602,MIERCOLES,11:00,29.3
20100602,MIERCOLES,12:00,30.9
20100602,MIERCOLES,13:00,32.2
20100602,MIERCOLES,14:00,33.1
20100602,MIERCOLES,15:00,33.7
20100602,MIERCOLES,16:00,34.5
20100602,MIERCOLES,17:00,34.7
20100602,MIERCOLES,18:00,34.8
20100602,MIERCOLES,19:00,34.2
20100602,MIERCOLES,20:00,32.8
20100602,MIERCOLES,21:00,31.0
20100602,MIERCOLES,22:00,28.7
20100602,MIERCOLES,23:00,25.5
20100603,JUEVES,0:00,24.3
20100603,JUEVES,1:00,23.1
20100603,JUEVES,2:00,21.8
20100603,JUEVES,3:00,19.8
20100603,JUEVES,4:00,18.5
20100603,JUEVES,5:00,19.2
20100603,JUEVES,6:00,19.7
20100603,JUEVES,7:00,20.7
20100603,JUEVES,8:00,23.2
20100603,JUEVES,9:00,26.1
20100603,JUEVES,10:00,28.6
20100603,JUEVES,11:00,30.8
20100603,JUEVES,12:00,32.3
20100603,JUEVES,13:00,33.8
20100603,JUEVES,14:00,34.9
20100603,JUEVES,15:00,35.8
20100603,JUEVES,16:00,35.9
